Name,Price,Producer,Form Factor,Size,RPM,Cache,Product Page
Seagate BarraCuda Hard Drive 1 TB,$42.06,Seagate,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B07D99KFPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 1 TB,$50.75,Western Digital,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B0088PUEPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Black 1 TB,$58.01,Western Digital,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B00FJRS6FU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate FireCuda SSHD 1 TB,$68.9,Seagate,"3.5""",1 TB,7200,64,https://www.amazon.ca/dp/B01IEKG484?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 2 TB,$79.78,Western Digital,"3.5""",2 TB,7200,64,https://www.amazon.ca/dp/B01FYXPGT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Exos 7E2 Hard Drive 2 TB,$104.45,Seagate,"3.5""",2 TB,7200,128,https://www.amazon.ca/Seagate-ST2000NM0008-Drives-Cache-Internal/dp/B01N95NM6L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N95NM6L
Western Digital Gold 2 TB,$115.32,Western Digital,"3.5""",2 TB,7200,128,https://www.amazon.ca/dp/B01IY9UTMM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 1 TB,$87.02,Western Digital,"3.5""",1 TB,7200,128,https://www.amazon.ca/dp/B01IY9USY6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Black 4 TB,$141.43,Western Digital,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B0792G331G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 4 TB,$147.95,Western Digital,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B07B1WK3N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 4 TB,$154.48,Western Digital,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B07XDD6GD3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Exos 7E8 Hard Drive 4 TB,$166.83,Seagate,"3.5""",4 TB,7200,256,https://www.amazon.ca/dp/B07T4411LF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 6 TB,$166.83,Seagate,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B0767P5BYT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Black 6 TB,$174.08,Western Digital,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B0792GSD6N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 8 TB,$177.71,Seagate,"3.5""",8 TB,7200,256,https://www.amazon.ca/dp/B084ZV4DXB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 6 TB,$192.2,Western Digital,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B07XHCT33G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 6 TB,$195.11,Western Digital,"3.5""",6 TB,7200,256,https://www.amazon.ca/dp/B07B1HX5KN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 8 TB,$215.68,Western Digital,"3.5""",8 TB,7200,256,https://www.amazon.ca/dp/B07D3N95GS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 8 TB,$217.59,Western Digital,"3.5""",8 TB,7200,256,https://www.amazon.ca/dp/B07XGDNZXT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Exos E 7E8 Hard Drive 8 TB,$229.6,Seagate,"3.5""",8 TB,7200,256,https://www.amazon.ca/Seagate-Enterprise-Capacity-Internal-ST8000NM0055/dp/B016AG0ITU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016AG0ITU
Western Digital Gold 10 TB,$235.73,Western Digital,"3.5""",10 TB,7200,256,https://www.amazon.ca/dp/B07XDD5MV8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 10 TB,$235.73,Western Digital,"3.5""",10 TB,7200,256,https://www.amazon.ca/dp/B084F34HZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 12 TB,$257.49,Western Digital,"3.5""",12 TB,7200,256,https://www.amazon.ca/dp/B07RTMPWD8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Gold 12 TB,$282.87,Western Digital,"3.5""",12 TB,7200,256,https://www.amazon.ca/dp/B075L6FJH8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red Pro 10 TB,$35.49,Western Digital,"3.5""",10 TB,7200,256,https://www.amazon.ca/dp/B072LX5HDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive 12 TB,$412.46,Seagate,"3.5""",12 TB,7200,256,https://www.amazon.ca/dp/B07J3212N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Compute Hard Drive 2 TB,$43.52,Seagate,"3.5""",2 TB,7200,256,https://www.amazon.ca/dp/B07H2RR55Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Pro Hard Drive 12 TB,$436.31,Seagate,"3.5""",12 TB,7200,256,https://www.amazon.ca/Seagate-ST12000DM0007-Drives-12000-Internal/dp/B078SXT4ZK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078SXT4ZK
Seagate Ironwolf Hard Drive 14 TB,$471.49,Seagate,"3.5""",14 TB,7200,256,https://www.amazon.ca/Seagate-IronWolf-14TB-Internal-Drive/dp/B07H7CW4YT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7CW4YT
Seagate BarraCuda Pro Hard Drive 14 TB,$558.53,Seagate,"3.5""",14 TB,7200,256,https://www.amazon.ca/Seagate-Barracuda-Internal-Drive-Performance/dp/B07H7C4DXR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7C4DXR
Western Digital Gold 14 TB,$315.52,Western Digital,"3.5""",14 TB,7200,512,https://www.amazon.ca/dp/B07XC95Y28?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
