Name,Price,Producer,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
Viewsonic XG2401,$208.68,ViewSonic,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B01A0ZRR50?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Samsung S24D330H,$25.08,SAMSUNG,1920 x 1080,60 Hz,"24""",TN,1,1,0,0,1,False,False,False,,https://www.amazon.ca/dp/B01IE3I5L0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VP2468,$251.42,ViewSonic,1920 x 1080,60 Hz,"24""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01HSABSGE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VG248QE,$257.5,ASUS,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,False,,https://www.amazon.ca/VG248QE-1920x1080-144Hz-Gaming-Monitor/dp/B00B19T7QC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00B19T7QC
ZOWIE XL2430,$266.21,ZOWIE,1920 x 1080,60 Hz,"24""",TN,1,1,1,1,0,False,False,True,,https://www.amazon.ca/BenQ-S-Switch-Tournaments-Professional-XL2430/dp/B01H5KKW0A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01H5KKW0A
AOC G2590FX 62,$161.75,AOC,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07D377Q6D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC G2590PX 62,$221.96,AOC,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-G2590PX-Frameless-Monitor-Compatible/dp/B07R4XPVKG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07R4XPVKG
HP Pavilion Gaming 25x 62,$223.3,HP,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07FJZ9J4F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VG259QM,$325.69,ASUS,1920 x 1080,280 Hz,"24.5""",IPS,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B0876KP2CK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic XG2530,$341.09,ViewSonic,1920 x 1080,240 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B071DTCPP3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX2776-SMHD,$148.69,ViewSonic,1920 x 1080,60 Hz,"27""",IPS,4,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B01GE9QWB6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic XG2705,$156.67,ViewSonic,1920 x 1080,144 Hz,"27""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B084JNYTYV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX2718-P-MHD,$168.56,ViewSonic,1920 x 1080,165 Hz,"27""",VA,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08V8LJS5B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VG275Q,$204.55,ASUS,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B071KHHDNK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX2757-MHD,$207.11,ViewSonic,1920 x 1080,122 Hz,"27""",TN,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B01A0ZRRCI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC C27G1,$208.24,AOC,1920 x 1080,144 Hz,"27""",VA,1,0,0,0,0,False,True,True,FreeSync,https://www.amazon.ca/AOC-C27G1-Screen-14700510-Black/dp/B07GD5XG5G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GD5XG5G
Viewsonic VX2758-P-MHD,$213.53,ViewSonic,1920 x 1080,144 Hz,"27""",TN,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B07SC5NH91?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VG278QR,$217.61,ASUS,1920 x 1080,165 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B07XV1519W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX2758-C-MH,$239.37,ViewSonic,1920 x 1080,144 Hz,"27""",TN,5,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B078ZJHD25?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Samsung S27E330H,$29.74,SAMSUNG,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,False,False,False,,https://www.amazon.ca/dp/B01IE3IC6I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Samsung C27FG73,$31.9,SAMSUNG,1920 x 1080,144 Hz,"27""",VA,1,0,0,0,0,False,True,True,FreeSync,https://www.amazon.ca/dp/B072JK2SF2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic ELITE XG270,$311.9,ViewSonic,1920 x 1080,240 Hz,"27""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B07VL5SNG8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic XG2702,$324.96,ViewSonic,1920 x 1080,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B00004YK4I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC C32G1,$250.75,AOC,1920 x 1080,144 Hz,"31.5""",VA,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-C32G1-Frameless-1920x1080-DisplayPort/dp/B07HKGFB27?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKGFB27
Viewsonic VX3218-PC-MHD,$277.83,ViewSonic,1920 x 1080,165 Hz,"32""",VA,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08V85DH1R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EIZO ColorEdge CG2420,$1718.68,EIZO,1920 x 1200,60 Hz,"24""",IPS,10,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01BUILA5E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 29UM69G,$203.09,LG,2560 x 1080,122 Hz,"29""",IPS,5,2,1,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B06Y634VP9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS MX299Q,$369.5,ASUS,2560 x 1080,60 Hz,"29""",IPS,5,1,1,1,0,False,False,False,,https://www.amazon.ca/dp/B00DRPYQ9G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 34UM69G,$304.65,LG,2560 x 1080,122 Hz,"34""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/LG-34UM69G-B-34-UltraWide-Reduction/dp/B06XFXX5JH?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XFXX5JH
LG 34WK650-W,$326.41,LG,2560 x 1080,122 Hz,"34""",IPS,5,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/LG-Electronics-34WK650-W-Ultra-Monitor/dp/B078GSH1LV?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078GSH1LV
LG UltraGear 34GL750-B,$435.22,LG,2560 x 1080,144 Hz,"34""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/LG-34GL750-inch-21-Ultragear/dp/B07R5R9VR9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07R5R9VR9
AOC AGON AG241QX,$289.47,AOC,2560 x 1440,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG241QX-Adaptive-Sync-DisplayPort-QuickSwitch/dp/B01NCTHS6E?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCTHS6E
ViewSonic VX2718-2KPC-MHD,$166.1,ViewSonic,2560 x 1440,165 Hz,"27""",VA,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08DLC9HBG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic ELITE XG270QC,$220.33,ViewSonic,2560 x 1440,165 Hz,"27""",MVA,3,0,0,0,0,True,True,True,FreeSync,https://www.amazon.ca/dp/B07VKPWYQ5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EIZO ColorEdge CG277-BK,$2360.5,EIZO,2560 x 1440,60 Hz,"27""",IPS,6,0,0,0,0,False,False,True,,https://www.amazon.ca/EIZO-CG277-BK-ColorEdge-Professional-Graphics/dp/B00IT5XKX2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IT5XKX2
ASUS TUF Gaming VG27AQ,$290.14,ASUS,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07WQ4FXY9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX2758-2KP-MHD,$301.26,ViewSonic,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B07VJJXDBX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX2778-SMHD,$302.08,ViewSonic,2560 x 1440,60 Hz,"27""",IPS,5,1,1,0,0,False,False,False,,https://www.amazon.ca/dp/B01GV9H6BE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS MG278Q,$344.15,ASUS,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B014X4U076?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
HP Pavilion Gaming 27xq 68,$355.5,HP,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07FCHFH3Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC AGON AG273QCG,$372.94,AOC,2560 x 1440,165 Hz,"27""",TN,1,0,0,0,0,True,True,True,,https://www.amazon.ca/AOC-AG273QCG-Curved-Monitor-DisplayPort/dp/B07LBMWHX3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07LBMWHX3
ViewSonic VP2768A,$398.3,ViewSonic,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B08L9VHCGP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC AGON AG273QCX,$408.63,AOC,2560 x 1440,144 Hz,"27""",VA,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG273QCX-FreeSync-DisplayHDR-DisplayPort/dp/B07MJCF5N4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MJCF5N4
AOC AGON AG271QX,$419.06,AOC,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-AG271QX-Gaming-Monitor-144hz/dp/B01G5JYN0C?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G5JYN0C
Viewsonic VP2768,$424.95,ViewSonic,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B06XYHDFVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VP2785-2K,$508.13,ViewSonic,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B07VJLS3VR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
BenQ SW2700PT,$580.29,BenQ,2560 x 1440,60 Hz,"27""",IPS,5,1,1,1,0,False,False,True,,https://www.amazon.ca/dp/B012UNOCJY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC AGON AG271QG,$652.9,AOC,2560 x 1440,165 Hz,"27""",IPS,4,0,0,0,0,True,False,True,,https://www.amazon.ca/AOC-AG271QG-27-Inch-Display-Monitor/dp/B01G5JYMNA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G5JYMNA
Viewsonic XG270QG,$665.17,ViewSonic,2560 x 1440,165 Hz,"27""",IPS,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B07VP9GS1Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX3268-2KPC-MHD,$209.19,ViewSonic,2560 x 1440,144 Hz,"31.5""",VA,3,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08D5H24N8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC CQ32G1,$340.92,AOC,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-CQ32G1-Frameless-2560x1440-DisplayPort/dp/B07HKM16DT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKM16DT
HP Pavilion 32,$348.17,HP,2560 x 1440,60 Hz,"31.5""",VA,5,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07PDMYM5K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC AGON AG322QC4,$439.56,AOC,2560 x 1440,144 Hz,"31.5""",VA,4,0,0,0,0,True,False,True,,https://www.amazon.ca/AOC-AG322QC4-2560x1440-DisplayHDR-DisplayPort/dp/B07G1CTZGS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07G1CTZGS
Viewsonic VX3276-2K-MHD,$226.19,ViewSonic,2560 x 1440,122 Hz,"32""",IPS,3,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B0787XMLZQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX3211-2K-MHD,$235.7,ViewSonic,2560 x 1440,60 Hz,"32""",IPS,3,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B0746P6L45?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX3258-2KC-MHD,$301.94,ViewSonic,2560 x 1440,144 Hz,"32""",VA,5,0,0,0,0,True,True,False,FreeSync,https://www.amazon.ca/ViewSonic-VX3258-2KC-MHD-Ultrawide-Monitor-FreeSync/dp/B07B8DXNDZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B8DXNDZ
HP Pavilion Gaming 32 HDR,$435.22,HP,2560 x 1440,122 Hz,"32""",VA,5,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07CMK62BG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ViewSonic XG320Q,$599.78,ViewSonic,2560 x 1440,175 Hz,"32""","IPS, Quantum Dot",1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B094RJ5ZT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic XG341C-2K,$1458.0,ViewSonic,3440 x 1440,200 Hz,"34""",VA,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B09PZBV2XJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX3418-2KPC,$330.06,ViewSonic,3440 x 1440,144 Hz,"34""",VA,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B08ZT31QCN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VA3456-MHDJ,$331.49,ViewSonic,3440 x 1440,75 Hz,"34""",VA,4,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B08TKGWGCW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VP3481,$650.16,ViewSonic,3440 x 1440,122 Hz,"34""","VA, MVA",5,0,0,0,0,True,True,True,,https://www.amazon.ca/dp/B07SPHL3HF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 34GK950F-B,$870.44,LG,3440 x 1440,144 Hz,"34""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/LG-34GK950F-B-34-21-Ultragear/dp/B0798Q8KG4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0798Q8KG4
LG 34WK95C-W,$880.12,LG,3440 x 1440,60 Hz,"34""",IPS,5,0,0,0,0,True,True,True,FreeSync,https://www.amazon.ca/LG-34WK95C-W-Ultrawide-Monitor-Display/dp/B07MRKX5WW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MRKX5WW
